tree,genotype,block,year,coppice_year,coppice_number,height,d20,d50,dbh,cop_id
BESC-102-1,BESC-102,1,2010,0,0,236.5248,NA,NA,NA,1
BESC-102-1,BESC-102,1,2011,0,0,393.192,7.9,5,NA,1
BESC-102-1,BESC-102,1,2012,1,0,570,NA,NA,5.08,1
BESC-102-1,BESC-102,1,2013,0,1,320,2.5,NA,NA,1
BESC-102-1,BESC-102,1,2014,0,1,NA,NA,NA,4.5,1
BESC-102-1,BESC-102,1,2015,0,1,930,NA,NA,7.300000000000001,1
BESC-102-1,BESC-102,1,2016,0,1,NA,NA,NA,12.6,1
BESC-102-1,BESC-102,1,2018,0,1,NA,NA,NA,18.7,1
BESC-102-1,BESC-102,1,2019,0,1,NA,NA,NA,20.700000000000003,1
BESC-119-1,BESC-119,1,2010,0,0,167.64,NA,NA,NA,1
BESC-119-1,BESC-119,1,2011,0,0,322.47839999999997,5.5,4.9,NA,1
BESC-119-1,BESC-119,1,2012,1,0,520,NA,NA,5.3340000000000005,1
BESC-119-1,BESC-119,1,2013,0,1,270,2.4000000000000004,NA,NA,1
BESC-119-1,BESC-119,1,2014,0,1,NA,NA,NA,2.2,1
BESC-119-1,BESC-119,1,2015,0,1,720,NA,NA,5.5,1
BESC-119-1,BESC-119,1,2016,0,1,NA,NA,NA,10.3,1
BESC-119-1,BESC-119,1,2018,0,1,NA,NA,NA,15.3,1
BESC-119-1,BESC-119,1,2019,0,1,NA,NA,NA,16.8,1
BESC-13-1,BESC-13,1,2011,0,0,198.12,2.7,1.9,NA,0
BESC-13-1,BESC-13,1,2012,0,0,360,NA,NA,1.4,0
BESC-13-1,BESC-13,1,2013,0,0,670,NA,NA,4.7,0
BESC-13-1,BESC-13,1,2014,0,0,NA,NA,NA,8,0
BESC-13-1,BESC-13,1,2015,0,0,NA,NA,NA,9.6,0
BESC-13-1,BESC-13,1,2016,0,0,NA,NA,NA,11.4,0
BESC-13-1,BESC-13,1,2018,0,0,NA,NA,NA,12.3,0
BESC-13-1,BESC-13,1,2019,0,0,NA,NA,NA,12.6,0
BESC-131-1,BESC-131,1,2010,0,0,304.8,NA,NA,NA,1
BESC-131-1,BESC-131,1,2011,0,0,557.7840000000001,10.5,8.1,NA,1
BESC-131-1,BESC-131,1,2012,1,0,730,NA,NA,10.16,1
BESC-131-1,BESC-131,1,2013,0,1,280,2.6,NA,NA,1
BESC-131-1,BESC-131,1,2014,0,1,NA,NA,NA,1.3,1
BESC-131-1,BESC-131,1,2015,0,1,650,NA,NA,3.4000000000000004,1
BESC-131-1,BESC-131,1,2016,0,1,NA,NA,NA,7.5,1
BESC-131-1,BESC-131,1,2018,0,1,NA,NA,NA,11,1
BESC-131-1,BESC-131,1,2019,0,1,NA,NA,NA,11.6,1
BESC-133-1,BESC-133,1,2010,0,0,222.504,NA,NA,NA,0
BESC-133-1,BESC-133,1,2011,0,0,506.5776,7.6,6.300000000000001,NA,0
BESC-133-1,BESC-133,1,2012,0,0,760,NA,NA,7,0
BESC-133-1,BESC-133,1,2013,0,0,1070,NA,NA,11.6,0
BESC-133-1,BESC-133,1,2014,0,0,NA,NA,NA,15.6,0
BESC-133-1,BESC-133,1,2015,0,0,NA,NA,NA,18.3,0
BESC-133-1,BESC-133,1,2016,0,0,NA,NA,NA,21.200000000000003,0
BESC-133-1,BESC-133,1,2018,0,0,NA,NA,NA,23.4,0
BESC-133-1,BESC-133,1,2019,0,0,NA,NA,NA,24.8,0
BESC-144-1,BESC-144,1,2010,0,0,429.768,NA,NA,NA,1
BESC-144-1,BESC-144,1,2011,0,0,717.4992,13.5,12,NA,1
BESC-144-1,BESC-144,1,2012,1,0,960,NA,NA,13.462000000000003,1
BESC-144-1,BESC-144,1,2013,0,1,250,2.1,NA,NA,1
BESC-144-1,BESC-144,1,2014,0,1,NA,NA,NA,1.5,1
BESC-144-1,BESC-144,1,2015,0,1,540,NA,NA,3.8,1
BESC-144-1,BESC-144,1,2016,0,1,NA,NA,NA,7.5,1
BESC-144-1,BESC-144,1,2018,0,1,NA,NA,NA,10.8,1
BESC-144-1,BESC-144,1,2019,0,1,NA,NA,NA,10.9,1
BESC-145-1,BESC-145,1,2010,0,0,210.6168,NA,NA,NA,1
BESC-145-1,BESC-145,1,2011,0,0,344.424,6.2,5.5,NA,1
BESC-145-1,BESC-145,1,2012,1,0,570,NA,NA,5.3340000000000005,1
BESC-145-1,BESC-145,1,2013,0,1,330,3,NA,NA,1
BESC-145-1,BESC-145,1,2014,0,1,NA,NA,NA,6.5,1
BESC-145-1,BESC-145,1,2015,0,1,910,NA,NA,9,1
BESC-145-1,BESC-145,1,2016,0,1,NA,NA,NA,13.1,1
BESC-145-1,BESC-145,1,2018,0,1,NA,NA,NA,19.4,1
BESC-145-1,BESC-145,1,2019,0,1,NA,NA,NA,22,1
BESC-192-1,BESC-192,1,2010,0,0,208.788,NA,NA,NA,0
BESC-192-1,BESC-192,1,2011,0,0,409.3464,5.9,5.300000000000001,NA,0
BESC-192-1,BESC-192,1,2012,0,0,730,NA,NA,7.2,0
BESC-192-1,BESC-192,1,2013,0,0,920,NA,NA,11.7,0
BESC-192-1,BESC-192,1,2014,0,0,NA,NA,NA,16,0
BESC-192-1,BESC-192,1,2015,0,0,NA,NA,NA,19.4,0
BESC-192-1,BESC-192,1,2016,0,0,NA,NA,NA,22.5,0
BESC-192-1,BESC-192,1,2018,0,0,NA,NA,NA,27.4,0
BESC-192-1,BESC-192,1,2019,0,0,NA,NA,NA,28.8,0
BESC-2-1,BESC-2,1,2010,0,0,209.7024,NA,NA,NA,1
BESC-2-1,BESC-2,1,2011,0,0,501.396,6.4,5.9,NA,1
BESC-2-1,BESC-2,1,2012,1,0,NA,NA,NA,1.580642,1
BESC-2-1,BESC-2,1,2013,0,1,310,2.8000000000000003,NA,NA,1
BESC-2-1,BESC-2,1,2014,0,1,NA,NA,NA,6.4,1
BESC-2-1,BESC-2,1,2015,0,1,1020,NA,NA,9.8,1
BESC-2-1,BESC-2,1,2016,0,1,NA,NA,NA,14.8,1
BESC-2-1,BESC-2,1,2018,0,1,NA,NA,NA,19.5,1
BESC-2-1,BESC-2,1,2019,0,1,NA,NA,NA,21.6,1
BESC-265-1,BESC-265,1,2010,0,0,351.12960000000004,NA,NA,NA,0
BESC-265-1,BESC-265,1,2011,0,0,648.6144,10.7,8.700000000000001,NA,0
BESC-265-1,BESC-265,1,2012,0,0,920,NA,NA,11.9,0
BESC-265-1,BESC-265,1,2013,0,0,1210,NA,NA,14.6,0
BESC-265-1,BESC-265,1,2014,0,0,NA,NA,NA,16.900000000000002,0
BESC-265-1,BESC-265,1,2015,0,0,NA,NA,NA,18.6,0
BESC-265-1,BESC-265,1,2016,0,0,NA,NA,NA,21.6,0
BESC-265-1,BESC-265,1,2018,0,0,NA,NA,NA,24.3,0
BESC-265-1,BESC-265,1,2019,0,0,NA,NA,NA,24.8,0
BESC-319-1,BESC-319,1,2010,0,0,180.7464,NA,NA,NA,1
BESC-319-1,BESC-319,1,2011,0,0,363.3216,5,3.3000000000000003,NA,1
BESC-319-1,BESC-319,1,2012,1,0,655,NA,NA,5.461,1
BESC-319-1,BESC-319,1,2013,0,1,340,3.4000000000000004,NA,NA,1
BESC-319-1,BESC-319,1,2014,0,1,NA,NA,NA,5.4,1
BESC-319-1,BESC-319,1,2015,0,1,1020,NA,NA,8,1
BESC-319-1,BESC-319,1,2016,0,1,NA,NA,NA,14,1
BESC-319-1,BESC-319,1,2018,0,1,NA,NA,NA,19.8,1
BESC-319-1,BESC-319,1,2019,0,1,NA,NA,NA,21,1
