block,organism_name,latitude,longitude,h_pos_err,planting_date,CBI_genotype,CBI_block,Row,Column
Clatskanie,BESC-100_C100-CL-B1_8_31,46.120883,-123.26852199999999,1.49349,,BESC-100,1,8,31
Clatskanie,BESC-100_C100-CL-B2_41_24,46.121067,-123.26978600000001,1.439934,,BESC-100,2,41,24
Clatskanie,BESC-100_C100-CL-B3_85_9,46.121466999999996,-123.271475,1.042828,,BESC-100,3,85,9
Clatskanie,BESC-101_C101-CL-B1_28_30,46.120903000000006,-123.269306,1.523028,,BESC-101,1,28,30
Clatskanie,BESC-101_C101-CL-B2_50_3,46.121621999999995,-123.270131,1.042173,,BESC-101,2,50,3
Clatskanie,BESC-101_C101-CL-B3_99_8,46.121458000000004,-123.272058,0.9008360000000001,,BESC-101,3,99,8
Clatskanie,BESC-102_C102-CL-B1_18_8,46.121497,-123.268847,1.3446200000000001,,BESC-102,1,18,8
Clatskanie,BESC-102_C102-CL-B2_61_21,46.121142,-123.27056100000001,0.8773280000000001,,BESC-102,2,61,21
Clatskanie,BESC-102_C102-CL-B3_92_22,46.121067,-123.27178899999998,0.960268,,BESC-102,3,92,22
Clatskanie,BESC-103_C103-CL-B1_15_10,46.121458000000004,-123.26875600000001,1.075358,,BESC-103,1,15,10
Clatskanie,BESC-103_C103-CL-B2_50_8,46.121481,-123.270128,1.133424,,BESC-103,2,50,8
Clatskanie,BESC-103_C103-CL-B3_94_20,46.121131,-123.27188600000001,0.730592,,BESC-103,3,94,20
Clatskanie,BESC-104_C104-CL-B1_30_30,46.120892,-123.26938600000001,1.099718,,BESC-104,1,30,30
Clatskanie,BESC-104_C104-CL-B2_52_13,46.121344,-123.270214,1.191052,,BESC-104,2,52,13
Clatskanie,BESC-104_C104-CL-B3_93_14,46.121314,-123.271822,0.6676300000000001,,BESC-104,3,93,14
Clatskanie,BESC-105_C105-CL-B1_18_13,46.121347,-123.268864,1.352006,,BESC-105,1,18,13
Clatskanie,BESC-105_C105-CL-B2_42_14,46.121306,-123.26982199999999,1.224899,,BESC-105,2,42,14
Clatskanie,BESC-105_C105-CL-B3_104_35,46.120725,-123.27229399999999,0.6255890000000001,,BESC-105,3,104,35
Clatskanie,BESC-106_C106-CL-B1_11_17,46.121281,-123.268608,0.715039,,BESC-106,1,11,17
Clatskanie,BESC-106_C106-CL-B2_62_31,46.120855999999996,-123.27063899999999,0.721804,,BESC-106,2,62,31
Clatskanie,BESC-106_C106-CL-B3_73_19,46.121196999999995,-123.271019,1.1575819999999999,,BESC-106,3,73,19
Clatskanie,BESC-107_C107-CL-B1_25_15,46.121331,-123.269144,1.476646,,BESC-107,1,25,15
Clatskanie,BESC-107_C107-CL-B2_58_8,46.121469,-123.270425,0.9931409999999999,,BESC-107,2,58,8
Clatskanie,BESC-107_C107-CL-B3_90_25,46.120983,-123.271708,0.764108,,BESC-107,3,90,25
Clatskanie,BESC-108_C108-CL-B1_23_11,46.121428,-123.269053,1.551204,,BESC-108,1,23,11
