genotype	site	year	block	row	col	curated_name	value_curated	corrected_units	tree_id	coppice_year	coppice_number
BESC-131	cla	2011	1	6	20	height	557.7840000000001	cm	cla_1_6_20	0	0
BESC-119	cla	2011	1	9	4	height	322.47839999999997	cm	cla_1_9_4	0	0
BESC-145	cla	2011	1	12	6	height	344.424	cm	cla_1_12_6	0	0
BESC-876	cla	2011	1	12	16	height	221.2848	cm	cla_1_12_16	0	0
BESC-319	cla	2011	1	12	17	height	363.3216	cm	cla_1_12_17	0	0
BESC-833	cla	2011	1	12	19	height	571.8048	cm	cla_1_12_19	0	0
BESC-35	cla	2011	1	12	22	height	643.128	cm	cla_1_12_22	0	0
BESC-36	cla	2011	1	13	30	height	623.6208	cm	cla_1_13_30	0	0
BESC-144	cla	2011	1	14	27	height	717.4992	cm	cla_1_14_27	0	0
BESC-102	cla	2011	1	18	8	height	393.192	cm	cla_1_18_8	0	0
BESC-2	cla	2011	1	19	12	height	501.39599999999996	cm	cla_1_19_12	0	0
BESC-192	cla	2011	1	21	31	height	409.3464	cm	cla_1_21_31	0	0
GW-11026	cla	2011	1	22	26	height	515.112	cm	cla_1_22_26	0	0
BESC-388	cla	2011	1	25	34	height	314.5536	cm	cla_1_25_34	0	0
SLMC-28-2	cla	2011	1	27	8	height	496.824	cm	cla_1_27_8	0	0
BESC-351	cla	2011	1	27	10	height	574.548	cm	cla_1_27_10	0	0
GW-9776	cla	2011	1	27	27	height	528.828	cm	cla_1_27_27	0	0
BESC-133	cla	2011	1	28	16	height	506.5776	cm	cla_1_28_16	0	0
BESC-897	cla	2011	1	29	17	height	556.26	cm	cla_1_29_17	0	0
BESC-841	cla	2011	1	34	24	height	378.2568	cm	cla_1_34_24	0	0
BESC-265	cla	2011	1	35	9	height	648.6144	cm	cla_1_35_9	0	0
BESC-13	cla	2011	1	35	33	height	198.12	cm	cla_1_35_33	0	0
GW-9854	cla	2011	1	35	34	height	222.504	cm	cla_1_35_34	0	0
BESC-35	cla	2011	2	36	14	height	687.324	cm	cla_2_36_14	0	0
BESC-13	cla	2011	2	39	29	height	603.504	cm	cla_2_39_29	0	0
BESC-897	cla	2011	2	40	15	height	649.8335999999999	cm	cla_2_40_15	0	0
BESC-36	cla	2011	2	42	9	height	463.29599999999994	cm	cla_2_42_9	0	0
BESC-833	cla	2011	2	42	16	height	661.4159999999999	cm	cla_2_42_16	0	0
BESC-841	cla	2011	2	43	26	height	524.256	cm	cla_2_43_26	0	0
GW-9768	cla	2011	2	44	3	height	541.3248	cm	cla_2_44_3	0	0
GW-11026	cla	2011	2	47	9	height	516.0264	cm	cla_2_47_9	0	0
BESC-388	cla	2011	2	50	4	height	480.06	cm	cla_2_50_4	0	0
GW-9776	cla	2011	2	50	9	height	576.072	cm	cla_2_50_9	0	0
BESC-119	cla	2011	2	50	15	height	516.0264	cm	cla_2_50_15	0	0
BESC-319	cla	2011	2	50	22	height	574.2432	cm	cla_2_50_22	0	0
BESC-144	cla	2011	2	51	29	height	676.656	cm	cla_2_51_29	0	0
BESC-2	cla	2011	2	52	12	height	495.60480000000007	cm	cla_2_52_12	0	0
SLMC-28-2	cla	2011	2	52	25	height	454.15200000000004	cm	cla_2_52_25	0	0
BESC-876	cla	2011	2	53	30	height	524.256	cm	cla_2_53_30	0	0
BESC-351	cla	2011	2	54	28	height	563.88	cm	cla_2_54_28	0	0
GW-9854	cla	2011	2	55	27	height	469.392	cm	cla_2_55_27	0	0
BESC-131	cla	2011	2	57	31	height	573.024	cm	cla_2_57_31	0	0
BESC-102	cla	2011	2	61	21	height	536.448	cm	cla_2_61_21	0	0
BESC-265	cla	2011	2	61	22	height	618.744	cm	cla_2_61_22	0	0
BESC-133	cla	2011	2	62	7	height	487.68	cm	cla_2_62_7	0	0
BESC-145	cla	2011	2	65	33	height	594.3599999999999	cm	cla_2_65_33	0	0
BESC-192	cla	2011	2	67	4	height	603.504	cm	cla_2_67_4	0	0
BESC-131	cla	2010	1	6	20	height	304.8	cm	cla_1_6_20	0	0
BESC-119	cla	2010	1	9	4	height	167.64	cm	cla_1_9_4	0	0
