ord,tree,genotype,block,Depth,latitude,longitude,cop_id,height,dbh,agb,root_CN,Lig,BD,Sand,Clay,Silt,SiCl,pH_soil,CEC,base_sat,POMC,MAOMC,TotC,TotC_30,POMC_st,MAOMC_st,TotC_st,TotC_st_30,POM_CN,MAOM_CN,soil_CN,C_chk_rel,C_chk_id,Al_ppm_root,Al_ppm_soil,Al_ppm_diff,B_ppm_root,Cu_ppm_root,Cu_ppm_soil,Cu_ppm_diff,Fe_ppm_root,Fe_ppm_soil,Fe_ppm_diff,Mn_ppm_root,Mn_ppm_soil,Mn_ppm_diff,Na_ppm_root,Na_ppm_soil,Na_ppm_diff,Ni_ppm_root,Ni_ppm_soil,Ni_ppm_diff,Zn_ppm_root,Zn_ppm_soil,Zn_ppm_diff,pCa_root,pCa_soil,pCa_diff,pK_root,pK_soil,pK_diff,pMg_root,pMg_soil,pMg_diff,pP_root,Cr_ppm,pPOM,pP_soil,pP_diff,pS_root
1,BESC-102-1,BESC-102,1,15,46.121497,-123.268847,Coppiced,930,20.700000000000003,5.374591944077967,49.726701570680625,26.58,0.8840146679342659,0,45.900000000000006,55.749999999999986,101.64999999999999,5.26,32.2265979437012,42.1598145961192,11.56,39.52,60.4,44.21546849849237,15.328814341980172,52.40438951514328,80.0917289148445,99.32942245008829,21.81132075471698,12.95737704918033,14.876847290640393,-15.430463576158928,Good,7378.17,4.46745,7373.70255,16.35,15.167,4.09785,11.06915,6213.76,267.50725,5946.252750000001,152.445,67.24035,85.20464999999999,285.622,37.80555,247.81645000000003,7.073,2.1111,4.9619,55.162,3.30435,51.85765,0.71988,0.211746375,0.5081336249999999,0.43521,0.019592995,0.415617005,0.15765,0.027991185000000002,0.129658815,0.07964,73.565,19.13907284768212,0.01178418,0.06785582,0.08403
2,BESC-102-2,BESC-102,2,15,46.121142,-123.270561,Non-coppiced,1000,18.3,3.864154206112069,50.419862340216326,32.71,0.6193467336683417,7.849999999999994,45.150000000000006,47,92.15,5.27,32.7016645103122,47.7767622665977,9.36559350870312,52.9718707651,76.36666666666666,70.85998598904598,8.70082462272105,49.21193270199931,70.94616834170854,132.2236944859432,20.33747779751332,13.826446280991735,14.60165710643722,-18.37084556027526,Good,5044.21,2.9191,5041.2909,11.643,21.753,6.08095,15.67205,3243.34,363.77145,2879.56855,283.393,59,224.39299999999997,307.614,53.09285,254.52114999999998,9.595,3.03215,6.562850000000001,73.663,7.04165,66.62134999999999,0.8155,0.23987381,0.57562619,0.36465,0.011465595,0.353184405,0.12897,0.037263335,0.09170666499999999,0.10552,54.669,12.263981024054718,0.01270655,0.09281345,0.11408
3,BESC-102-3,BESC-102,3,15,46.121067,-123.27178899999998,Non-coppiced,710,24.8,8.027528780456063,39.8130081300813,24.03,0.7910837973652045,8.39079607936886,38.2060004781258,51.2032034425054,89.4092039206312,5.48,28.9159704214047,73.5056306658518,7.59,51.99,53.5,42.84569358958256,9.006489033002854,61.69266993752548,63.48447473855765,104.23234754855358,20.513513513513512,14.127717391304348,13.896103896103895,11.364485981308409,Good,8403.85,0.13855,8403.71145,16.98,23.006,5.05275,17.95325,8770,215.49495,8554.50505,165.941,93.8932,72.04780000000001,335.891,43.52765,292.36335,15.061,2.8166,12.244399999999999,51.25,9.72235,41.52765,0.75848,0.32618467500000004,0.432295325,0.6104,0.02499422,0.5854057800000001,0.19529,0.049386055,0.14590394499999998,0.14161,256.507,14.186915887850468,0.015535805,0.126074195,0.10951
4,BESC-119-1,BESC-119,1,15,46.121625,-123.268506,Coppiced,720,16.8,3.344783984083462,51.93681043129388,35.71,0.8169903571913623,0,37.90262172284645,62.87141073657929,100.77403245942574,4.78,30.1880528653846,43.1013849200732,7.07,32.04,42.43181438689318,29.87677575466655,8.664182738014398,39.26455656661687,51.99957478833816,72.03719532344613,20.794117647058822,12.090566037735849,12.780666984003966,-7.8285937919243445,Good,2109.76,4.64415,2105.11585,11.844,24.694,4.7474,19.9466,1833.12,411.19895,1421.92105,149.316,57.42015,91.89585,107.555,34.5,73.055,4.876,1.87825,2.9977500000000004,57.833,4.7173,53.1157,0.90493,0.195732985,0.709197015,0.71556,0.031694505,0.6838654949999999,0.09802,0.02714568,0.07087431999999999,0.11765,14.033,16.662026128639603,0.013045419999999999,0.10460458,0.11546
5,BESC-13-1,BESC-13,1,15,46.120844,-123.269572,Non-coppiced,670,12.6,1.5745980139764761,40.6923076923077,27.05,0.9910023088415048,1.8943170488534378,34.89531405782652,63.210368893320044,98.10568295114656,5.25,25.4033350136566,67.5961837468398,2.697945205479554,21.60873287671235,24.7,24.7,4.010504891637159,32.12145625794191,36.71663554257775,69.08569536873557,11.929133858267715,11.032863849765258,9.320754716981131,-1.5923964283728675,Good,1047.54,0.41,1047.1299999999999,15.293,10.385,5.76455,4.62045,952.766,350.06795,602.69805,73.409,74.2063,-0.7972999999999928,372.081,33.4563,338.6247,3.909,2.8483,1.0606999999999998,65.393,7.4539,57.9391,0.543,0.26183131,0.28116869000000005,0.8283,0.031220875000000002,0.797079125,0.1017,0.037609465,0.064090535,0.1198,NA,10.922855082913173,0.0151267,0.1046733,0.1112
6,BESC-13-2,BESC-13,2,15,46.120933,-123.269728,Non-coppiced,1150,23,6.696758885518038,52.08525576730191,31.56,0.8417424962651094,8.273999508961452,36.82789098944267,54.898109501595876,91.72600049103855,5.27,26.3297877491639,71.2277589467444,14.695643939394046,28.90482954545451,49.099999999999994,49.09999999999999,18.55492202065316,36.49563506356255,61.9943348499253,114.76366460681787,23.8267491670633,10.838926174496645,13.175313059033988,-11.200665000308428,Good,2326.7,0.52825,2326.17175,14.375,17.18,6.3677,10.8123,2202.72,447.64815,1755.0718499999998,243.111,84.15475,158.95624999999998,102.424,38.24735,64.17665000000001,8.192,3.12565,5.06635,93.192,9.29495,83.89705,0.7049,0.29520106,0.40969893999999996,0.4789,0.02529775,0.45360225,0.1225,0.038149340000000004,0.08435066,0.1367,NA,29.930028389804576,0.012419575,0.12428042499999999,0.0882
7,BESC-13-3,BESC-13,3,15,46.121008,-123.271508,Non-coppiced,910,18.7,4.070458558938193,45.692240627724495,30.57,0.9649938883607228,5.237154150197625,38.290513833992094,56.47233201581028,94.76284584980237,5.33,26.3315274127648,74.5449176003717,7.838235294118059,27.88598402323898,43.96666666666667,43.96666666666667,11.345773731535859,40.36470623002556,63.64134693738966,111.21169190547332,16.69683257918552,10.421286031042127,12.012750455373405,-18.74703718569286,Good,1686.1,0.51395,1685.58605,15.108,15.162,5.97065,9.19135,1488.63,255.07525,1233.55475,356.603,88.4005,268.2025,213.857,47.1722,166.6848,6.512,2.95535,3.5566499999999994,106.508,8.53445,97.97354999999999,0.8338,0.31053699,0.52326301,0.5295,0.01473546,0.5147645399999999,0.1205,0.042228444999999996,0.07827155499999999,0.1387,NA,17.827676938858357,0.013315945,0.125384055,0.0983
8,BESC-131-1,BESC-131,1,15,46.121186,-123.268422,Coppiced,730,11.6,2.2288054295196456,56.556975505857295,25.55,0.7943093847616461,3.8832550086569313,38.783081869898595,57.333663121444474,96.11674499134307,4.78,29.0510344855073,44.6418198703976,7.85,48.31,67.8557004140038,67.3421251972343,9.352993005568383,57.5596295667527,80.84762947262692,156.2459861207323,20.128205128205128,13.646892655367232,15.214282604036724,-17.23613542067291,Good,2443.64,5.98295,2437.65705,10.979,28.368,4.60545,23.762549999999997,2629.39,398.14455,2231.24545,170.083,62.09505,107.98795,129.5,35.15105,94.34895,7.14,2.1849,4.9551,49.091,6.22915,42.861850000000004,0.64087,0.20236328,0.43850672,0.33447,0.027178515,0.307291485,0.06985,0.02401237,0.04583762999999999,0.08973,53.096,11.568666968442265,0.014621615,0.075108385,0.10276
9,BESC-131-2,BESC-131,2,15,46.120867,-123.270444,Non-coppiced,1290,23.4,6.980348377189824,53.31934493346981,37.24,0.701819910362624,7.1801242236024905,41.88819875776398,50.93167701863353,92.81987577639751,5.05,26.3803370565775,63.5580850260477,9.15,54.95,75.52125670021817,65.37996942318478,9.632478269727015,57.84750611163929,79.50348241172976,120.22659798961922,22.31707317073171,14.347258485639687,15.195423883343695,-15.123234436570455,Good,2502.82,2.5212,2500.2988,9.928,39.533,6.3178,33.2152,1375.17,291.87235,1083.29765,149.925,47.0306,102.89440000000002,156.146,206.23535,-50.089350000000024,8.133,3.2314,4.901599999999999,72.11,5.59975,66.51025,0.63574,0.24962766,0.38611233999999994,0.3465,0.0076199449999999995,0.33888005499999996,0.10121,0.038320744999999996,0.062889255,0.09406,19.896,12.115794148289865,0.01769827,0.07636173,0.10809
10,BESC-131-3,BESC-131,3,15,46.120785999999995,-123.272211,Coppiced,600,20.6,5.280327232225427,75.19186046511628,36.43,0.8510457693874779,9.691420828785425,42.73703639579961,47.57154277541496,90.30857917121457,4.99,24.3498202251951,59.6874395407519,5.34,49.4,66.63035490806676,55.9285756092528,6.816876612793697,63.06249151161211,85.05822248594458,138.25288668531982,18.413793103448278,13.646408839779005,14.839722696674107,-17.845252249477713,Good,3820.98,5.96935,3815.01065,11.537,24.719,5.8547,18.8643,2538.57,397.71075,2140.85925,88.533,58.6348,29.898200000000003,304.988,40.8416,264.14639999999997,9.172,2.6937,6.478300000000001,53.832,5.48955,48.34245,0.92304,0.22527224999999998,0.69776775,0.33967,0.02457814,0.31509186,0.10522,0.02954869,0.07567130999999999,0.06242,71.109,8.01436523543641,0.013781934999999999,0.04863806500000001,0.08309
11,BESC-133-1,BESC-133,1,15,46.121269,-123.269267,Non-coppiced,1070,24.8,8.027528780456063,59.75675675675676,36.14,0.6188374303952194,0,43.400000000000006,56.75,100.15,5.11,28.8997208879599,61.5757327101857,3.55,41.59,55.099999999999994,49.092587594082524,3.2953093168545435,38.60617309520576,51.14691362216489,96.3366189053375,18.684210526315788,13.037617554858935,14.092071611253196,-18.07622504537204,Good,2603.71,0.94345,2602.76655,12.659,43.761,5.13485,38.62615,3284.72,335.87275,2948.84725,295.736,70.89695,224.83905,234.442,38.58335,195.85865,10.102,3.21665,6.885350000000001,54.246,7.1576,47.0884,0.99962,0.278089395,0.7215306049999999,0.39281,0.02667409,0.36613591,0.1021,0.036468484999999995,0.065631515,0.10997,19.289,6.442831215970962,0.01121909,0.09875091,0.12806
12,BESC-133-2,BESC-133,2,15,46.121514000000005,-123.270581,Non-coppiced,1020,20.3,4.959182288186627,41.41242937853107,37.29,0.6073950835257368,4.1000000000000085,29.15000000000001,66.74999999999999,95.89999999999999,4.91,35.83284009699,41.5429646567157,7.86,58.98,88.3,72.77521279072776,7.161188034768438,53.73624303952194,80.44947881298384,143.26600740187425,20.153846153846153,14.562962962962963,15.82437275985663,-24.30351075877689,Good,2695.68,2.945,2692.7349999999997,9.01,35.338,5.3662,29.971800000000002,2280.02,390.09325,1889.92675,150.587,36.7554,113.83159999999998,277.112,49.43785,227.67415000000003,7.195,2.55,4.6450000000000005,54.82,6.4162,48.403800000000004,0.62604,0.22724865,0.39879135000000004,0.41372,0.012868514999999999,0.40085148499999995,0.10569,0.035744189999999995,0.06994581000000001,0.10787,26.68,8.901472253680636,0.011729325,0.096140675,0.12716
13,BESC-133-3,BESC-133,3,15,46.121417,-123.271817,Non-coppiced,720,30,12.68947140102948,66.80710659898476,31.62,0.8146136085834579,1.5999999999999943,37.150000000000006,61.25,98.4,5.28,26.2287389278149,66.605607596668,3.87,18.06,27.3,23.83867812396485,4.7288319978269735,22.067882656525875,33.3584272714926,62.30942550590792,20.36842105263158,10.203389830508474,11.818181818181818,-19.67032967032967,Good,1907.17,0.33365,1906.83635,12.055,20.288,5.0094,15.2786,2239.81,258.318,1981.492,158.976,96.88075,62.09524999999999,526.062,50.6611,475.40090000000004,5.188,2.16425,3.0237499999999997,62.981,6.2155,56.7655,1.13586,0.26630648500000004,0.869553515,0.34179,0.014968305000000001,0.32682169499999997,0.13598,0.04260502,0.09337498,0.0795,21.584,14.175824175824175,0.015675525,0.063824475,0.11074
