tree,genotype,block,Cuvette root mass (g),Total DOC (um),Total DOC ± (um),Raw exudation rate (ug C/h),Raw exudation rate ± (ug C/h),Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,MAOMC,POMC,TotC,SiCl,Al_ppm_root,B_ppm_root,pCa_root,Fe_ppm_root,pMg_root
BESC-13-1,BESC-13,1,0.401,145.07543786868402,32.90659145770775,6.015567568838864,1.3644751122736167,347,780,1988.359392,0.392283,1235.390432,0.824275,0.540011,3.83195,3234.129805,1951.832256,5168.791964,1.302,21.60873287671235,2.697945205479554,24.7,98.10568295114656,1047.54,15.293,0.543,952.766,0.1017
BESC-13-2,BESC-13,2,0.4075,232.35929342563068,32.99075487761522,9.601623695223187,1.363254333778539,533,2263,4096.595768,0.55241,1809.110575,0.572368,0.4064,3.537446,6790.392858,1717.240825,7342.048883,2.443,28.90482954545451,14.695643939394046,49.099999999999994,91.72600049103855,2326.7,14.375,0.7049,2202.72,0.1225
BESC-13-3,BESC-13,3,0.4177,443.13848073779275,33.427550018060586,18.36209174321375,1.3851194758815886,405,2064,3302.672181,0.624948,1685.507597,0.686267,0.51806,4.23594,5208.343242,2009.574212,7123.034334,2.13,27.88598402323898,7.838235294118059,43.96666666666667,94.76284584980237,1686.1,15.108,0.8338,1488.63,0.1205
BESC-35-2,BESC-35,2,0.2247,172.12496068657677,32.93116511155904,7.054301667459095,1.3496379144036499,180,722,1490.861704,0.484284,888.6079,0.766096,0.523018,3.811355,2494.083848,1188.30359,3603.287983,1.343,45.01,16.62,74.97640785053395,99.64999999999999,2911.85,9.702,0.81812,2331.5,0.0993
BESC-192-1,BESC-192,1,0.4577,299.37776721494095,33.215826847686316,14.03333283817483,1.5569918834824639,1315,7245,8303.964489,0.872475,2650.31599,0.458013,0.3048,4.623079,12605.03586,2821.574792,11943.33843,3.225,18.9825733752621,5.967355495657256,32.266666666666666,100.89999999999999,2105.98,11.318,1.07927,1659.73,0.11113
BESC-192-2,BESC-192,2,0.2932,81.25714791895984,32.89243691235978,3.8119068609078983,1.5430384790671279,906,3762,5817.654952,0.646652,2199.35044,0.491181,0.325279,3.54182,9462.289193,2004.444134,8970.540497,2.387,63.71562047637863,7.313711533016758,90.76666666666667,95.89999999999999,2358.38,9.427,0.5835,1640.17,0.07966
BESC-192-3,BESC-192,3,0.3061,157.98695316919682,32.91781430238148,7.4698323011563925,1.5563978393586684,802,3849,5334.078419,0.721587,2117.821571,0.534361,0.386881,3.781104,8439.842841,2036.494512,8938.945644,2.249,19.529165658570676,3.2640092432119023,26.86666666666667,95.89999999999999,3407.6,11.444,0.71734,3886.15,0.13217
BESC-265-1,BESC-265,1,0.4365,168.52178654716295,32.92302511482108,6.869094560348489,1.3419711323980228,640,2583,4076.051004,0.633702,1708.2011,0.54978,0.340777,5.142857,6788.554041,2114.780617,7048.523824,1.993,50.18,7.22,75.24718665831222,93.3066933066933,2806.47,11.236,0.672,2069.76,0.09897
BESC-265-2,BESC-265,2,0.3705,76.6936925461556,32.88630083721207,3.134619586361597,1.3441267372185235,497,2282,3546.365193,0.643476,1281.300663,0.524659,0.3048,5.088629,5721.991751,1825.940034,5806.09119,1.604,52.5,9.85,76.51523660706312,95.1624906970975,2625.35,9.182,0.7063,1547.46,0.10644
BESC-265-3,BESC-265,3,0.6499,475.18779625172533,33.453702473465775,19.435083691221585,1.3682495899128917,400,2297,3598.465063,0.638328,2104.840952,0.78397,0.567961,4.780871,5744.741091,3117.241719,8903.936121,2.627,52.81,14.86,73.285039912285,92.4981431047289,3091.73,11.575,0.69317,3110.47,0.11132
BESC-351-1,BESC-351,1,0.5975,624.809673041357,33.86668510198645,29.310852527371942,1.5887420688980973,1059,4328,7757.907319,0.557882,2961.834721,0.516505,0.325279,6.469176,12793.41903,3790.403931,12710.2306,3.351,38.86,7.48,56.69479908361677,100.72373346643373,2856.43,8.925,0.60477,2091.05,0.08661
BESC-351-2,BESC-351,2,0.5543,532.8323652406939,33.68208810025389,24.89870865621555,1.5739293504860035,749,3533,4887.714883,0.722833,1937.913544,0.609554,0.35921,5.964621,7252.740756,3297.432103,9424.281101,2.122,40.72,7.21,56.3634724480018,98.69608826479438,3245.34,8.838,0.54336,2821.77,0.08913
BESC-351-3,BESC-351,3,0.415,373.8354532431475,33.22403265065218,15.279378197980312,1.357930489811472,657,3594,5300.07988,0.678103,2041.288175,0.532102,0.3556,4.1656,8317.723489,2229.327103,8861.057066,2.438,26.64,4.02,41.03799033395677,94.13496932515338,2712.15,10.863,0.64538,2432.93,0.12024
BESC-388-1,BESC-388,1,0.7875,177.04449444492306,32.94695763867506,8.266669001334343,1.5383793449992882,918,5389,7634.682725,0.705858,3238.907716,0.602493,0.386881,5.339561,11837.04091,4415.426074,14501.74085,3.452,24.11,5.4,23.5,101.65,3436.82,13.709,0.59143,4917.81,0.12414
BESC-388-2,BESC-388,2,0.2892,175.06402037676526,32.9262764224201,7.3970712835374215,1.3912511164425672,352,1519,2320.754089,0.654529,1098.073933,0.647054,0.409563,4.132323,3678.213041,1519.468949,4775.502548,1.517,59.11,7.26,86.19999999999999,100.15,4646.16,10.669,0.60275,2631.72,0.13057
GW-9768-1,GW-9768,1,0.2425,85.31813712549916,32.887734299512516,3.4847435177189507,1.3432702913345393,453,2270,3130.042047,0.72523,1153.312532,0.492073,0.340777,3.983186,5125.005984,1161.206726,4853.763168,1.656,38.83,3.23,53.099999999999994,89.64999999999999,1789.09,14.502,1.28066,1371.57,0.11712
GW-9768-2,GW-9768,2,0.1573,200.39645409104398,32.947938559265836,8.467455806677714,1.3921664179994306,374,2648,3718.945275,0.71203,1158.916392,0.400683,0.296212,2.848879,6086.126932,741.990719,4664.32354,1.549,18.77,2.66,24.2,91.64999999999999,1928.53,11.215,0.90326,1700.74,0.11377
GW-9768-3,GW-9768,3,0.4815,462.5826214035361,33.411996032430096,19.504537796395784,1.4087981461349754,1006,6492,6904.280676,0.940286,2430.183527,0.518751,0.3556,5.300999,10011.02934,2939.506074,11255.27817,2.537,22.62,8.51,40.5,90.50920392063114,4119.83,15.206,1.06462,4093.63,0.15552
GW-9854-2,GW-9854,2,0.2,195.47409431376477,32.99313321881063,9.098871729110758,1.5357548433888906,444,1543,2618.935269,0.589171,1099.4797369999999,0.559523,0.35921,3.720905,4391.977059,1327.595229,4610.041036,1.807,42.66,8.3,63.714593473752416,95.87603099225194,1990.38,11.43,0.84647,2583.53,0.08409
GW-9854-3,GW-9854,3,0.1128,84.21203331517246,32.90423134789088,3.4209356796831605,1.3366647805459002,255,674,1378.343606,0.488993,629.225193,0.566881,0.396761,3.14878,2368.199997,563.047767,2439.8997210000002,1.485,24.22,5.89,35.794020757826146,101.13,1790.07,12.522,0.90702,1605.02,0.10154
SLMC-28-2-1,SLMC-28-2,1,0.3303,156.463728964378,32.91309145389261,7.149903836881992,1.5040255043608932,963,6193,6907.543176,0.896556,2104.353856,0.449383,0.3048,5.124761,10293.96072,2213.23611,9757.705614,2.937,48.09,8.64,73.3,95.89999999999999,1431.92,8.776,0.65924,1669.7,0.08107
SLMC-28-2-2,SLMC-28-2,2,0.2115,104.17503105699137,32.89217939006758,4.328602398482269,1.3667110549865336,695,4786,5383.941566,0.88894,1581.385224,0.409354,0.25903,2.939824,8375.728179,1313.213143,6911.280693,2.473,35.26,5.18,52.9,99.2,3647.47,14.251,0.80382,3046.01,0.12681
SLMC-28-2-3,SLMC-28-2,3,0.1484,162.27345868657946,32.920294053247076,7.6604307798276,1.5540658089598345,198,769,1431.027882,0.537376,622.807141,0.609159,0.35921,4.915802,2280.368668,884.832671,2736.034707,1.505,33.44,9.59,50.9,100.89999999999999,3504.51,12.285,0.66307,2799.99,0.11614
