analysis,name,model,method,genotype,value
Heritability,TotC_st,full,raw,BESC-102,1.4560983243111085
Heritability,TotC_st,full,raw,BESC-119,-0.881326362930047
Heritability,TotC_st,full,raw,BESC-13,-1.6357793581840785
Heritability,TotC_st,full,raw,BESC-131,3.2984808061728823
Heritability,TotC_st,full,raw,BESC-133,-0.7767142714432498
Heritability,TotC_st,full,raw,BESC-144,0.0050175089626197655
Heritability,TotC_st,full,raw,BESC-145,0.04529139406075327
Heritability,TotC_st,full,raw,BESC-192,-0.33862158256960306
Heritability,TotC_st,full,raw,BESC-2,-1.7723474748891037
Heritability,TotC_st,full,raw,BESC-265,2.1483685021556105
Heritability,TotC_st,full,raw,BESC-319,2.311702454089302
Heritability,TotC_st,full,raw,BESC-35,5.133578703911074
Heritability,TotC_st,full,raw,BESC-351,1.8837497774772791
Heritability,TotC_st,full,raw,BESC-36,-2.0924028850557677
Heritability,TotC_st,full,raw,BESC-388,1.368849007877009
Heritability,TotC_st,full,raw,BESC-833,-1.3396147445740336
Heritability,TotC_st,full,raw,BESC-841,1.5416472125218552
Heritability,TotC_st,full,raw,BESC-876,0.22100291115844295
Heritability,TotC_st,full,raw,BESC-897,1.229736024519949
Heritability,TotC_st,full,raw,GW-11026,-0.7284667572229861
Heritability,TotC_st,full,raw,GW-9768,-9.836934339959615
Heritability,TotC_st,full,raw,GW-9776,-1.2239336831461818
Heritability,TotC_st,full,raw,GW-9854,-1.7724951257453114
Heritability,TotC_st,full,raw,SLMC-28-2,1.7551139585021462
Average,TotC_st,avg,raw,BESC-102,8.896517702928236
Average,TotC_st,avg,raw,BESC-119,-10.611364840437169
Average,TotC_st,avg,raw,BESC-13,-8.49350051881109
Average,TotC_st,avg,raw,BESC-131,19.192171827991757
Average,TotC_st,avg,raw,BESC-133,-7.6259997265615524
Average,TotC_st,avg,raw,BESC-144,4.963752525690708
Average,TotC_st,avg,raw,BESC-145,2.1129653691874637
Average,TotC_st,avg,raw,BESC-192,-3.3705660265298576
Average,TotC_st,avg,raw,BESC-2,-5.942105474289953
Average,TotC_st,avg,raw,BESC-265,8.773920158518038
Average,TotC_st,avg,raw,BESC-319,7.825436053704294
Average,TotC_st,avg,raw,BESC-35,22.821548861733675
Average,TotC_st,avg,raw,BESC-351,4.999686007556846
Average,TotC_st,avg,raw,BESC-36,-2.957287924307039
Average,TotC_st,avg,raw,BESC-388,-3.254860245371823
Average,TotC_st,avg,raw,BESC-833,-3.2946180298209242
Average,TotC_st,avg,raw,BESC-841,0.08950609404777765
Average,TotC_st,avg,raw,BESC-876,6.0114705640808666
Average,TotC_st,avg,raw,BESC-897,2.0858981498662104
Average,TotC_st,avg,raw,GW-11026,-2.1667287093131407
Average,TotC_st,avg,raw,GW-9768,-32.44393229480819
Average,TotC_st,avg,raw,GW-9776,-5.032751390285576
Average,TotC_st,avg,raw,GW-9854,-9.450883520254706
Average,TotC_st,avg,raw,SLMC-28-2,6.871725385485163
